device_id,device_imei,owner_name,device_number,direction,partner_number,partner_name,call_type,start_time,duration_sec,cell_id,latitude,longitude,notes
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,093-333-4444,บัญชีม้า 2,voice,2026-01-10T11:00:00,240,TH-BKK-005,13.7465,100.5337,Transfer instruction
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-10T14:00:00,500,TH-BKK-006,13.7292,100.5257,Financial update
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,INCOMING,094-444-5555,บัญชีม้า 3,voice,2026-01-10T15:00:00,150,TH-BKK-006,13.7292,100.5257,Confirm received
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,095-555-6666,Exchange Shop,voice,2026-01-10T16:30:00,300,TH-BKK-007,13.7406,100.5633,Currency exchange
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-11T07:45:00,300,TH-BKK-005,13.7465,100.5337,Morning brief
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,092-222-3333,บัญชีม้า 1,voice,2026-01-11T09:30:00,300,TH-BKK-005,13.7465,100.5337,Large transfer
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,096-666-7777,Crypto Exchange,voice,2026-01-11T11:00:00,480,TH-BKK-005,13.7465,100.5337,BTC purchase
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-11T19:00:00,720,TH-BKK-005,13.7465,100.5337,Financial summary
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,093-333-4444,บัญชีม้า 2,voice,2026-01-12T08:30:00,180,TH-BKK-005,13.7465,100.5337,Withdrawal
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,097-777-8888,Real Estate,voice,2026-01-12T14:00:00,900,TH-BKK-008,13.7523,100.5632,Property inquiry
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-10T09:30:00,345,TH-BKK-009,13.7610,100.5051,Delivery update
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-10T18:30:00,300,TH-BKK-010,13.7514,100.5176,Evening check
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,084-567-8901,แดง สีทอง,voice,2026-01-10T20:30:00,300,TH-BKK-010,13.7514,100.5176,Drop off confirm
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,085-678-9012,ดำ สีขาว,voice,2026-01-10T21:00:00,180,TH-BKK-010,13.7514,100.5176,Drop off confirm
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-11T10:15:00,420,TH-CMI-002,18.7953,98.9827,Chiang Mai pickup
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-12T08:00:00,180,TH-BKK-009,13.7610,100.5051,Arrival confirm
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,084-567-8901,แดง สีทอง,voice,2026-01-12T10:00:00,300,TH-BKK-011,13.7395,100.5596,Delivery schedule
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,085-678-9012,ดำ สีขาว,voice,2026-01-12T10:30:00,240,TH-BKK-011,13.7395,100.5596,Delivery schedule
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,INCOMING,098-888-9999,Unknown Caller,voice,2026-01-12T15:00:00,90,TH-BKK-012,13.7287,100.5830,Missed important
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,084-567-8901,แดง สีทอง,voice,2026-01-13T09:00:00,480,TH-BKK-011,13.7395,100.5596,Weekly delivery
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-10T10:00:00,135,TH-BKK-013,13.7447,100.5673,Order confirmation
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-10T20:00:00,270,TH-BKK-013,13.7447,100.5673,Sales report
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-10T20:30:00,300,TH-BKK-013,13.7447,100.5673,Drop off confirm
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,OUTGOING,089-123-4567,ลูกค้า A,voice,2026-01-11T14:00:00,120,TH-BKK-014,13.7335,100.5692,Customer sale
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,OUTGOING,089-234-5678,ลูกค้า B,voice,2026-01-11T15:30:00,120,TH-BKK-014,13.7335,100.5692,Customer sale
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,OUTGOING,089-345-6789,ลูกค้า C,voice,2026-01-11T17:00:00,90,TH-BKK-014,13.7335,100.5692,Customer sale
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-12T11:00:00,360,TH-BKK-013,13.7447,100.5673,Distribution
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-12T10:00:00,300,TH-BKK-013,13.7447,100.5673,Delivery schedule
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,OUTGOING,089-456-7890,ลูกค้า D,voice,2026-01-12T19:00:00,150,TH-BKK-015,13.7289,100.5812,Customer sale
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,OUTGOING,089-567-8901,ลูกค้า E,voice,2026-01-12T20:30:00,180,TH-BKK-015,13.7289,100.5812,Customer sale
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-13T09:00:00,480,TH-BKK-013,13.7447,100.5673,Weekly delivery
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-10T11:30:00,180,TH-BKK-016,13.7225,100.5127,Stock check
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-11T13:00:00,330,TH-BKK-016,13.7225,100.5127,Stock request
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-10T21:00:00,180,TH-BKK-016,13.7225,100.5127,Drop off confirm
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-12T10:30:00,240,TH-BKK-016,13.7225,100.5127,Delivery schedule
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,OUTGOING,088-111-2222,ลูกค้า F,voice,2026-01-11T18:00:00,120,TH-BKK-017,13.7185,100.5143,Customer sale
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,OUTGOING,088-222-3333,ลูกค้า G,voice,2026-01-11T19:30:00,90,TH-BKK-017,13.7185,100.5143,Customer sale
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,OUTGOING,088-333-4444,ลูกค้า H,voice,2026-01-12T14:00:00,180,TH-BKK-017,13.7185,100.5143,Customer sale
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,OUTGOING,088-444-5555,ลูกค้า I,voice,2026-01-12T16:00:00,90,TH-BKK-018,13.7163,100.5201,Customer sale
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,OUTGOING,088-555-6666,ลูกค้า J,voice,2026-01-12T21:00:00,120,TH-BKK-018,13.7163,100.5201,Customer sale
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-13T08:00:00,300,TH-BKK-016,13.7225,100.5127,Morning check
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,082-345-6789,สมหญิง รักดี,voice,2026-01-13T09:00:00,600,TH-BKK-001,13.7563,100.5018,Weekly summary
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,066-888-9999,Supplier,voice,2026-01-13T11:00:00,900,TH-BKK-001,13.7563,100.5018,Next shipment
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-13T14:00:00,300,TH-BKK-002,13.7469,100.5349,Status update
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,084-567-8901,แดง สีทอง,voice,2026-01-13T16:00:00,240,TH-BKK-002,13.7469,100.5349,Sales target
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,085-678-9012,ดำ สีขาว,voice,2026-01-13T16:30:00,180,TH-BKK-002,13.7469,100.5349,Sales target
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-13T09:00:00,600,TH-BKK-005,13.7465,100.5337,Weekly summary
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,091-111-2222,ธนาคารกสิกร,voice,2026-01-13T10:00:00,180,TH-BKK-005,13.7465,100.5337,Balance check
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,096-666-7777,Crypto Exchange,voice,2026-01-13T11:30:00,600,TH-BKK-005,13.7465,100.5337,USDT purchase
PHONE_002,358765432109877,นางสาวสมหญิง รักดี,082-345-6789,OUTGOING,094-444-5555,บัญชีม้า 3,voice,2026-01-13T14:00:00,300,TH-BKK-006,13.7292,100.5257,Transfer out
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,082-345-6789,สมหญิง รักดี,voice,2026-01-14T08:00:00,720,TH-BKK-001,13.7563,100.5018,Daily brief
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,INCOMING,066-999-8888,Myanmar Contact,voice,2026-01-14T10:00:00,1200,TH-CRI-001,20.4273,99.8868,Border arrangement
PHONE_001,358765432109876,นายสมชาย ใจดี,081-234-5678,OUTGOING,083-456-7890,เดช กล้าหาญ,voice,2026-01-14T12:00:00,480,TH-CRI-001,20.4273,99.8868,Pickup assignment
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,INCOMING,081-234-5678,สมชาย ใจดี,voice,2026-01-14T12:00:00,480,TH-CMI-001,18.7883,98.9853,Pickup assignment
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-14T18:00:00,300,TH-CRI-001,20.4273,99.8868,Border arrival
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-15T06:00:00,180,TH-CRI-001,20.4273,99.8868,Pickup complete
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,084-567-8901,แดง สีทอง,voice,2026-01-15T14:00:00,300,TH-BKK-011,13.7395,100.5596,Delivery ETA
PHONE_003,358765432109878,นายเดช กล้าหาญ,083-456-7890,OUTGOING,085-678-9012,ดำ สีขาว,voice,2026-01-15T14:30:00,240,TH-BKK-011,13.7395,100.5596,Delivery ETA
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-15T14:00:00,300,TH-BKK-013,13.7447,100.5673,Delivery ETA
PHONE_004,358765432109879,นายแดง สีทอง,084-567-8901,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-15T16:00:00,300,TH-BKK-013,13.7447,100.5673,Stock received
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,INCOMING,083-456-7890,เดช กล้าหาญ,voice,2026-01-15T14:30:00,240,TH-BKK-016,13.7225,100.5127,Delivery ETA
PHONE_005,358765432109880,นายดำ สีขาว,085-678-9012,OUTGOING,081-234-5678,สมชาย ใจดี,voice,2026-01-15T17:00:00,180,TH-BKK-016,13.7225,100.5127,Stock received
